
--------------------------------------------------
[FAIL] | Canada Post | #4016010241157882 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010241157882
[FAIL] | Canada Post | #4016010241081880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010241081880
[FAIL] | Canada Post | #4016010240568887 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010240568887
[FAIL] | Canada Post | #4016010240147884 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010240147884
[FAIL] | Canada Post | #4016010240221881 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010240221881
[FAIL] | Canada Post | #4016010239892887 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010239892887
[FAIL] | Canada Post | #4016010239474885 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010239474885
[FAIL] | Canada Post | #4016010239424880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010239424880
[FAIL] | Canada Post | #4016010238603880 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010238603880
[FAIL] | Canada Post | #4016010236651883 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010236651883
[FAIL] | Canada Post | #4016010234772887 | reason:  | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010234772887
[FAIL] | Canada Post | #4016010215914886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215914886
[FAIL] | Canada Post | #4016010215682884 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215682884
[FAIL] | Canada Post | #4016010215646886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215646886
[FAIL] | Canada Post | #4016010215468884 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215468884
[FAIL] | Canada Post | #4016010215277882 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215277882
[FAIL] | Canada Post | #4016010215240886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215240886
[FAIL] | Canada Post | #4016010215224886 | reason: Maximum emails reached | https://www.canadapost-postescanada.ca/track-reperage/en#/search?searchFor=4016010215224886
